rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,train/n_updates,time/fps,train/critic_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,time/time_elapsed,train/ent_coef
-1200.366038,-1.2645189762115479,-0.8434572815895081,1504,0,10.322940826416016,1,1605.0,0.0003,1605,1941,0.6405991911888123
-586.2763279999999,-1.2933515310287476,0.08217113465070724,1535,0,15.810466766357422,2,818.0,0.0003,1636,1983,0.6357058882713318
-342.0665689999999,-1.1786435842514038,-1.7665669918060303,1582,0,43.81801986694336,3,561.0,0.0003,1683,2049,0.6287401914596558
-250.06637024999995,-1.0936436653137207,-1.0293304920196533,1600,0,11.746553421020508,4,425.25,0.0003,1701,2075,0.6262148022651672
-193.28343799999996,-1.1094468832015991,-2.2262816429138184,1617,0,28.76131820678711,5,343.6,0.0003,1718,2101,0.6239215135574341
-158.57819216666664,-1.1437876224517822,1.942825436592102,1636,0,50.80510711669922,6,289.5,0.0003,1737,2130,0.6213676333427429
-133.3180894285714,-1.0946435928344727,-0.9101518392562866,1658,0,53.166908264160156,7,251.28571428571428,0.0003,1759,2160,0.6184130311012268
-113.575819875,-1.0840586423873901,-3.959129810333252,1682,0,60.99470138549805,8,222.875,0.0003,1783,2194,0.6151237487792969
-99.39682066666666,-1.1787071228027344,-4.533631801605225,1704,0,65.21365356445312,9,200.55555555555554,0.0003,1805,2220,0.6121327877044678
-87.8625857,-1.1741935014724731,-3.279637336730957,1730,0,141.47952270507812,10,183.1,0.0003,1831,2256,0.6084023118019104
-73.9564499090909,-1.3646949529647827,-0.7836030721664429,1760,0,73.65995788574219,11,169.1818181818182,0.0003,1861,2297,0.6039703488349915
-6.777156499999999,-1.6182318925857544,-2.152484893798828,1970,0,21.036815643310547,12,172.58333333333334,0.0003,2071,2561,0.5707617998123169
-4.227615923076922,-1.6643279790878296,0.31927746534347534,1996,0,33.94786071777344,13,161.30769230769232,0.0003,2097,2601,0.5665271282196045
