train/critic_loss,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/ent_coef_loss,time/fps,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean
0.2034519612789154,1706,1605,-1095.669441,1,1790,-1.6167482137680054,0,-3.385255813598633,0.0003,0.6186748743057251,1706.0
0.7533303499221802,4744,4643,-1760.436704,2,6565,-4.66140079498291,0,1.531946063041687,0.0003,0.24869444966316223,2372.0
1.4209702014923096,4980,4879,-1269.1779663333334,3,6899,-4.9213995933532715,0,2.0011391639709473,0.0003,0.23171648383140564,1660.0
1.1837232112884521,5136,5035,-1007.19988225,4,7128,-5.046848297119141,0,2.5458757877349854,0.0003,0.22112922370433807,1284.0
0.7449244856834412,5602,5501,-897.5876474,5,7696,-5.53659200668335,0,4.2223219871521,0.0003,0.19229356944561005,1120.4
0.6397446393966675,5975,5874,-812.1802068333333,6,8108,-5.904810905456543,0,5.041064262390137,0.0003,0.17195534706115723,995.8333333333334
1.1551611423492432,6148,6047,-727.7873782857142,7,8296,-6.08514928817749,0,4.607781410217285,0.0003,0.16327154636383057,878.2857142857143
0.7603464722633362,6159,6058,-648.901484,8,8345,-6.035181999206543,0,4.493762969970703,0.0003,0.16273540258407593,769.875
4.0758819580078125,6244,6143,-593.3564719999999,9,8488,-6.151054859161377,0,5.527695655822754,0.0003,0.15864723920822144,693.7777777777778
3.0627310276031494,6307,6206,-548.1319778,10,8629,-6.2286057472229,0,4.785176753997803,0.0003,0.15567921102046967,630.7
0.7297484874725342,6476,6375,-519.712298,11,8851,-6.4184794425964355,0,5.103338241577148,0.0003,0.14797942340373993,588.7272727272727
1.615339994430542,7754,7653,-566.4574911666667,12,10127,-7.752264499664307,0,5.90809440612793,0.0003,0.10083723068237305,646.1666666666666
2.07672119140625,15945,15844,-1048.869617846154,13,20950,-16.031963348388672,0,6.504378318786621,0.0003,0.00863940641283989,1226.5384615384614
8.121803283691406,18451,18350,-1123.3231627142857,14,24374,-18.185951232910156,0,6.575287818908691,0.0003,0.004084133543074131,1317.9285714285713
283.2544250488281,19255,19154,-1105.8961748000002,15,25496,-19.115020751953125,0,6.221024036407471,0.0003,0.0032105883583426476,1283.6666666666667
9.259490966796875,19980,19879,-1086.7108885625,16,26500,-19.63170623779297,0,7.010144233703613,0.0003,0.002584068337455392,1248.75
2.039289951324463,23355,23254,-1190.186797411765,17,31202,-20.608905792236328,0,6.0511794090271,0.0003,0.0009467533673159778,1373.8235294117646
9.957969665527344,23849,23748,-1141.1509366666667,18,31888,-20.068809509277344,0,7.146848678588867,0.0003,0.000824419897980988,1324.9444444444443
0.9162939786911011,24043,23942,-1090.0063472105264,19,32149,-20.457006454467773,0,6.41310453414917,0.0003,0.0007820867467671633,1265.421052631579
0.9591293334960938,24158,24057,-1042.59635795,20,32315,-20.745254516601562,0,7.054018974304199,0.0003,0.0007582746329717338,1207.9
2.2623579502105713,24285,24184,-1000.4331342857143,21,32486,-18.586864471435547,0,6.933603763580322,0.0003,0.0007335564005188644,1156.4285714285713
1.1724610328674316,24567,24466,-963.6194132727273,22,32883,-15.175274848937988,0,7.4463210105896,0.0003,0.0006839268025942147,1116.6818181818182
0.9882587194442749,24657,24556,-926.804435130435,23,33006,-16.271154403686523,0,7.142646312713623,0.0003,0.0006696557393297553,1072.0434782608695
37.537498474121094,24739,24638,-892.8826037083332,24,33117,-16.091556549072266,0,7.232723236083984,0.0003,0.0006574898725375533,1030.7916666666667
40.0760498046875,24800,24699,-861.1847190399999,25,33211,-14.51246166229248,0,7.090177536010742,0.0003,0.0006486886995844543,992.0
1.2020845413208008,24885,24784,-832.7365822692307,26,33326,-13.408565521240234,0,6.755610942840576,0.0003,0.0006372823263518512,957.1153846153846
