time/fps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/ent_coef_loss
2,0.0003,0.45449012517929077,-1765.508051,1664,0.08219607174396515,1765.0,1765,0.6262392997741699,778,1,-1.1481921672821045
2,0.0003,0.5380223989486694,-934.201684,1665,0.10416857898235321,883.0,1766,0.6260716915130615,779,2,-1.1528772115707397
0,0.0003,4.178654670715332,-1138.471976,5242,3.306626796722412,1781.0,5343,0.2472769021987915,7425,3,-2.337782382965088
0,0.0003,3.1640615463256836,-949.832407,6983,1.125627875328064,1771.0,7084,0.17833320796489716,12949,4,-0.5882841348648071
0,0.0003,4.9404096603393555,-764.8491718,7579,1.9692890644073486,1536.0,7680,0.15927380323410034,15176,5,-1.1775314807891846
0,0.0003,5.032370567321777,-647.4662786666667,7795,15.779573440551758,1316.0,7896,0.15295015275478363,16029,6,-1.2031793594360352
0,0.0003,3.0980613231658936,-563.0776268571428,8727,3.3985018730163574,1261.142857142857,8828,0.1278769075870514,19954,7,-0.6136865615844727
0,0.0003,2.716005802154541,-481.228090375,9158,2.2184386253356934,1157.375,9259,0.1190868392586708,21914,8,0.010488811880350113
0,0.0003,2.739065408706665,-506.3154623333333,9971,4.807701110839844,1119.111111111111,10072,0.11132904887199402,25853,9,-1.0841703414916992
0,0.0003,1.9142682552337646,-475.0006257,10897,13.162601470947266,1099.8,10998,0.10605228692293167,31311,10,1.1263090372085571
0,0.0003,-2.3964645862579346,-405.79948763636366,10918,7.328155517578125,1001.7272727272727,11019,0.10627806931734085,31453,11,0.03929619863629341
0,0.0003,-0.48188143968582153,-358.71172425000003,11055,7.684233665466309,929.6666666666666,11156,0.10729824751615524,32325,12,-0.16130849719047546
0,0.0003,-0.0355403870344162,-314.22985807692305,11068,10.163122177124023,859.1538461538462,11169,0.10714990645647049,32411,13,0.007119305431842804
0,0.0003,-0.8178393840789795,-274.7300543571429,11083,8.12267780303955,798.8571428571429,11184,0.1071695014834404,32509,14,0.3029041886329651
0,0.0003,-0.9601121544837952,-238.68572,11095,8.379250526428223,746.4,11196,0.10726238787174225,32588,15,-0.720109760761261
0,0.0003,0.3976168930530548,-210.4837288125,11110,19.268117904663086,700.6875,11211,0.10729756206274033,32686,16,0.36731985211372375
0,0.0003,-0.5533145666122437,-190.59078688235294,11126,16.887060165405273,660.4117647058823,11227,0.1074875146150589,32791,17,-0.9193101525306702
0,0.0003,1.3395838737487793,-178.00176855555554,11160,7.974406719207764,625.6111111111111,11261,0.10777336359024048,33010,18,-0.011755339801311493
0,0.0003,-0.4933069944381714,-156.73882094736842,11172,7.546494960784912,593.3157894736842,11273,0.1079397052526474,33090,19,0.7658210396766663
0,0.0003,-1.7103244066238403,-138.99393015,11186,10.080642700195312,564.35,11287,0.10824757814407349,33182,20,0.36818158626556396
0,0.0003,1.9075019359588623,-131.22912614285715,11230,14.713407516479492,539.5714285714286,11331,0.10856661945581436,33467,21,0.2165401130914688
0,0.0003,-1.6847511529922485,-123.96991422727274,11267,14.441844940185547,516.7272727272727,11368,0.10913887619972229,33707,22,0.09086734801530838
0,0.0003,-0.7917819023132324,-118.29651808695654,11295,13.889860153198242,495.4782608695652,11396,0.10925386846065521,33892,23,0.5500113368034363
0,0.0003,-0.84951251745224,-102.75886729166666,11311,29.253559112548828,475.5,11412,0.10940972715616226,33999,24,0.33087071776390076
0,0.0003,-1.268587350845337,-93.46334703999999,11554,11.90340805053711,466.2,11655,0.11424893140792847,35584,25,0.4770210087299347
0,0.0003,-2.383232593536377,-80.40861069230769,11568,12.347583770751953,448.8076923076923,11669,0.11445479094982147,35680,26,0.1581614911556244
0,0.0003,-3.6465160846710205,-69.39947085185185,11580,12.94749641418457,432.6296296296296,11681,0.11468637734651566,35764,27,1.3888148069381714
0,0.0003,-4.142064571380615,-114.16523435714284,12131,19.791217803955078,436.85714285714283,12232,0.12603656947612762,39484,28,-0.43836939334869385
0,0.0003,-3.925182342529297,-101.74906513793103,12160,24.539329528808594,422.7931034482759,12261,0.12626494467258453,39688,29,-0.6376014351844788
0,0.0003,-15.65378189086914,-185.1338827333333,14833,42.88604736328125,497.8,14934,0.1566806435585022,61405,30,0.5148054957389832
0,0.0003,-16.970855712890625,-172.00652648387094,14844,48.20091247558594,482.0967741935484,14945,0.15706367790699005,61512,31,0.5890129804611206
0,0.0003,-14.854642868041992,-161.2114995625,14853,47.88380813598633,467.3125,14954,0.15729640424251556,61600,32,0.16947497427463531
0,0.0003,-16.152942657470703,-151.20809718181818,14862,57.277252197265625,453.42424242424244,14963,0.15757422149181366,61690,33,0.9295084476470947
0,0.0003,-14.551130294799805,-141.77927052941178,14871,66.87630462646484,440.3529411764706,14972,0.1580836921930313,61779,34,-0.37161755561828613
0,0.0003,-18.527475357055664,-132.85688162857144,14880,50.93806457519531,428.0285714285714,14981,0.15832501649856567,61867,35,0.2679588794708252
0,0.0003,-18.61345863342285,-122.11261519444446,14899,69.85620880126953,416.6666666666667,15000,0.15887972712516785,62052,36,0.14704345166683197
0,0.0003,-21.321666717529297,-113.28289354054057,14909,44.918277740478516,405.6756756756757,15010,0.15926983952522278,62150,37,0.5975430607795715
0,0.0003,-24.17688751220703,-107.0320455526316,14990,57.89855194091797,397.13157894736844,15091,0.1622549146413803,62913,38,0.7974321842193604
0,0.0003,-12.38168716430664,-97.75071746153849,15015,116.94964599609375,387.5897435897436,15116,0.16388629376888275,63150,39,-0.9474778175354004
