train/ent_coef_loss,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes
-0.02648669108748436,31,0.12307874858379364,0.0003,0.9921345710754395,-3.5183119773864746,128.0,27,128,4,-5.033315,1
-0.027613986283540726,32,103.9941635131836,0.0003,0.9918321371078491,-3.273686170578003,64.5,28,129,3,-54.645558,2
-0.20408368110656738,149,20.63637924194336,0.0003,0.9410256147384644,-3.400783061981201,101.0,202,303,2,-24.727680333333335,3
-0.20544211566448212,150,42.97606658935547,0.0003,0.9407424926757812,-2.509827136993408,76.0,203,304,2,-43.25657125,4
-0.20646530389785767,151,74.19345092773438,0.0003,0.9404594302177429,-1.5431584119796753,61.0,204,305,2,-54.4499586,5
-0.20757535099983215,152,76.830810546875,0.0003,0.9401764869689941,-3.052119255065918,51.0,205,306,2,-61.901165999999996,6
-0.2664841413497925,195,35.686729431152344,0.0003,0.9239110946655273,0.1371314823627472,52.0,263,364,1,-61.888763999999995,7
-0.3705451488494873,278,885.7779541015625,0.0003,0.8957638740539551,2.816372871398926,58.375,366,467,1,-133.603727875,8
-0.38320666551589966,289,328.75714111328125,0.0003,0.8925403952598572,2.687443971633911,53.22222222222222,378,479,1,-128.95286955555557,9
-0.4172593951225281,318,1092.0230712890625,0.0003,0.8834656476974487,4.200191497802734,51.3,412,513,1,-123.10641660000002,10
-0.41842204332351685,320,1392.67626953125,0.0003,0.8832000494003296,3.023712635040283,46.72727272727273,413,514,1,-120.90436936363636,11
-0.41779208183288574,321,436.8500061035156,0.0003,0.8829345107078552,1.6585866212844849,42.916666666666664,414,515,1,-119.14949166666668,12
-0.41908591985702515,322,1096.58154296875,0.0003,0.88266921043396,2.7605018615722656,39.69230769230769,415,516,1,-117.63486092307693,13
-0.43755683302879333,338,178.4974365234375,0.0003,0.8781716823577881,9.349668502807617,38.07142857142857,432,533,1,-115.94751042857145,14
-0.43840229511260986,339,778.04150390625,0.0003,0.877907931804657,11.697574615478516,35.6,433,534,1,-114.79975333333336,15
-0.43762174248695374,341,555.103271484375,0.0003,0.8776441812515259,-1.5487983226776123,33.4375,434,535,1,-113.8328143125,16
-0.448963463306427,350,467.514404296875,0.0003,0.8750118017196655,0.9114723205566406,32.05882352941177,444,545,1,-112.62854247058824,17
-0.45055490732192993,352,635.3601684570312,0.0003,0.8747490644454956,13.989631652832031,30.333333333333332,445,546,1,-111.90654344444445,18
-0.5064647793769836,402,159.8382568359375,0.0003,0.8601593375205994,21.244869232177734,31.68421052631579,501,602,1,-109.40166063157896,19
-0.5070732831954956,404,130.79588317871094,0.0003,0.8599010109901428,20.042537689208984,30.15,502,603,1,-108.87764605000002,20
-0.5721559524536133,463,124.776123046875,0.0003,0.8435368537902832,16.430002212524414,31.761904761904763,566,667,1,-105.93480676190477,21
-0.5729485154151917,464,158.1625518798828,0.0003,0.8432836532592773,13.367423057556152,30.363636363636363,567,668,1,-105.63527227272729,22
-0.57288658618927,466,115.47097778320312,0.0003,0.8430305123329163,13.595765113830566,29.08695652173913,568,669,1,-105.37591473913044,23
-0.6345136165618896,527,151.4283447265625,0.0003,0.8274861574172974,14.144367218017578,30.458333333333332,630,731,1,-103.471605125,24
-0.7761217355728149,671,112.4237060546875,0.0003,0.7939101457595825,14.542475700378418,34.76,768,869,1,-99.61026335999999,25
-0.790660560131073,688,92.05682373046875,0.0003,0.7903435826301575,14.936264038085938,34.0,783,884,1,-99.55496380769229,26
-0.789627194404602,690,118.2396240234375,0.0003,0.790106475353241,14.068808555603027,32.77777777777778,784,885,1,-99.54788070370368,27
-0.810486912727356,711,91.93775939941406,0.0003,0.7858515977859497,14.553762435913086,32.25,802,903,1,-99.41020782142856,28
-0.8132225871086121,713,89.5457534790039,0.0003,0.7856158018112183,15.670303344726562,31.17241379310345,803,904,1,-99.4062350689655,29
-0.8547996878623962,769,107.97718811035156,0.0003,0.7746158838272095,13.776213645935059,31.7,850,951,1,-97.10475343333331,30
-0.9597839713096619,882,101.95755004882812,0.0003,0.7510437369346619,11.507684707641602,34.0,953,1054,1,-94.97621419354837,31
-0.9764020442962646,896,113.29618835449219,0.0003,0.7485677599906921,12.038980484008789,33.28125,964,1065,1,-94.9148613125,32
-0.9742864966392517,898,106.88504028320312,0.0003,0.7483430504798889,11.940938949584961,32.303030303030305,965,1066,1,-95.04946387878788,33
-1.0333200693130493,972,131.24256896972656,0.0003,0.7352098822593689,11.150501251220703,33.088235294117645,1024,1125,1,-93.50027152941176,34
-1.0980743169784546,1051,86.26426696777344,0.0003,0.7218783497810364,12.021841049194336,33.885714285714286,1085,1186,1,-92.72152425714286,35
-1.1007534265518188,1062,142.8062744140625,0.0003,0.720146656036377,11.461921691894531,33.166666666666664,1093,1194,1,-92.8827715,36
-1.128104329109192,1091,89.58967590332031,0.0003,0.715621292591095,11.797435760498047,32.83783783783784,1114,1215,1,-92.19339710810812,37
-1.1339192390441895,1105,94.14320373535156,0.0003,0.71347576379776,8.427884101867676,32.23684210526316,1124,1225,1,-92.40929002631579,38
-1.139090895652771,1107,107.98985290527344,0.0003,0.7132617235183716,10.351426124572754,31.435897435897434,1125,1226,1,-92.58831856410256,39
-1.161891222000122,1143,122.26017761230469,0.0003,0.7077184319496155,8.772130012512207,31.3,1151,1252,1,-92.365768075,40
-1.1786787509918213,1171,125.81108093261719,0.0003,0.7036935687065125,11.971636772155762,31.0,1170,1271,1,-92.19211668292684,41
