time/total_timesteps,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/episodes,rollout/ep_rew_mean
4808,0,-2.0933663845062256,11001,0.2787894904613495,0.0003,4707,0.043876759707927704,4808.0,4.22389030456543,1,-2962.639059
5803,0,-1.0739569664001465,16059,0.22444891929626465,0.0003,5702,0.5726194977760315,2901.5,3.2292840480804443,2,-775.944699
6129,0,-1.4103561639785767,17879,0.2119874358177185,0.0003,6028,1.7451401948928833,2043.0,1.4425190687179565,3,-297.72348600000004
6429,0,-0.467074990272522,19628,0.20634956657886505,0.0003,6328,0.5691195130348206,1607.25,0.07275483012199402,4,-205.45717225
6702,0,-0.8455696702003479,21279,0.20059804618358612,0.0003,6601,1.0630478858947754,1340.4,-0.5626324415206909,5,-77.94928320000001
6965,0,-0.8201740980148315,22925,0.19368256628513336,0.0003,6864,1.2691831588745117,1160.8333333333333,0.4086669385433197,6,3.4490673333333177
7288,0,-0.6214718818664551,25015,0.18599411845207214,0.0003,7187,1.316807746887207,1041.142857142857,-1.8751813173294067,7,171.04528928571426
7612,0,-0.2372852861881256,27169,0.18000848591327667,0.0003,7511,0.7547980546951294,951.5,-4.495275497436523,8,343.18570924999995
7854,0,0.10637887567281723,28839,0.1781773567199707,0.0003,7753,1.6005632877349854,872.6666666666666,-3.335843563079834,9,434.42385488888885
8149,0,-0.39065203070640564,30929,0.18113793432712555,0.0003,8048,67.1292953491211,814.9,-4.205253601074219,10,502.26017579999996
