time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef,train/critic_loss,time/time_elapsed,time/episodes
0,635,0.0003,1882.291724,-222.1823272705078,-0.3748895227909088,635.0,534,0.703478991985321,229.5094757080078,646,1
0,937,0.0003,1401.431355,-233.23094177246094,-0.5032737851142883,468.5,836,0.6331894993782043,143.63037109375,990,2
0,1532,0.0003,1626.3806166666666,-227.5177001953125,-0.5094075202941895,510.6666666666667,1431,0.532843828201294,167.69451904296875,1709,3
0,2003,0.0003,1716.81165075,-245.1361083984375,-0.5635929703712463,500.75,1902,0.4764202833175659,162.7937469482422,2333,4
0,2530,0.0003,1696.4225908,-252.9302978515625,-0.4467359483242035,506.0,2429,0.424899160861969,334.55078125,2917,5
0,3008,0.0003,1747.0887645,-247.92431640625,-0.4054558575153351,501.3333333333333,2907,0.3859061300754547,230.8381805419922,3525,6
0,3218,0.0003,1655.1914505714285,-256.09844970703125,-0.31637653708457947,459.7142857142857,3117,0.37204399704933167,616.3532104492188,3803,7
0,3513,0.0003,1708.3700682499998,-268.12896728515625,-0.3407707214355469,439.125,3412,0.3537300229072571,296.6669921875,4254,8
0,3751,0.0003,1705.4444965555554,-272.8478088378906,-0.1370033323764801,416.77777777777777,3650,0.3404329717159271,175.60867309570312,4615,9
0,4002,0.0003,1703.6640046999996,-254.33566284179688,-0.274310827255249,400.2,3901,0.3286370038986206,206.16575622558594,4981,10
